Date,TOSM,TOSM description,SubGroup,SubGroup description,Sales,Cost,Margin,%,Quantity,Number of invoice transactions,Number of credit transactions,YTD Sales,YTD Cost,YTD Margin,YTD %,YTD Quantity,YTD Number of invoice transactions,YTD Number of credit transactions
31/08/2026,0,Credit stock sales,R,ROOFING,6321.65,3921.15,2400.5,37.97,7634,46,6,19199.47,13284.39,5915.08,30.81,14337,231,33
31/08/2026,0,Credit stock sales,RA,Roofing Accessories,10058.3,7057.5,3000.8,29.83,923,196,0,80781.97,58038.64,22743.33,28.15,7309.4,1462,23
31/08/2026,0,Credit stock sales,RB,Roofing Battens,24764.32,15240.5,9523.82,38.46,40.5839,499,6,185741.77,111860.74,73881.03,39.78,312.8863,3952,62
31/08/2026,0,Credit stock sales,RC,Chimneys,1139.85,695.76,444.09,38.96,30,18,1,11223.83,7235.4,3988.43,35.54,318,133,16
31/08/2026,0,Credit stock sales,RE,,31.59,24.4,7.19,22.76,2,2,0,1474.2,1070.35,403.85,27.39,69,46,0
31/08/2026,0,Credit stock sales,RF,Felts,17956.04,13458.92,4497.12,25.05,362,129,5,127521.94,93162.03,34359.91,26.94,2455,1057,37
31/08/2026,0,Credit stock sales,RH,Corrugated Clear Sheets,43.54,30.89,12.65,29.05,5,6,2,3735.29,2643.15,1092.14,29.24,260.44,75,4
31/08/2026,0,Credit stock sales,RI,Roofing Insulation,2769.88,2338.5,431.38,15.57,17,4,0,23724.51,18700.56,5023.95,21.18,448,63,8
31/08/2026,0,Credit stock sales,RL,Lead & Sundries,21218.67,15206.05,6012.62,28.34,356,220,5,129303.37,99140.4,30162.97,23.33,2208,1570,35
31/08/2026,0,Credit stock sales,RM,,2200.78,1379.83,820.95,37.3,55,13,0,61561.56,46688.7,14872.86,24.16,747,169,6
31/08/2026,0,Credit stock sales,RP,PVCu Fascias & Cladding,5585.53,3680.14,1905.39,34.11,361,176,2,37281.17,23163.06,14118.11,37.87,2863,1344,34
31/08/2026,0,Credit stock sales,RQ,Roofing Chemicals & Gas,4947.36,3558.32,1389.04,28.08,371,192,3,66158.56,50728.77,15429.79,23.32,2327,1373,19
31/08/2026,0,Credit stock sales,RR,EPDM Roofing,1198.93,1007.69,191.24,15.95,29,8,0,2097.61,1765.01,332.6,15.86,73.6,28,0
31/08/2026,0,Credit stock sales,RS,Slates & Tiles,49777.21,41997.35,7779.86,15.63,20428,151,6,399567.62,339447.71,60119.91,15.05,228532.4,1325,114
31/08/2026,0,Credit stock sales,RT,Concrete Roof Tiles,16750.3,12261.34,4488.96,26.8,9185,142,19,180224.65,137188.93,43035.72,23.88,123501,1123,161
31/08/2026,0,Credit stock sales,RV,Ventilation,9459.99,6034.58,3425.41,36.21,2102,207,15,74673.26,46701.39,27971.87,37.46,15814,1745,103
31/08/2026,0,Credit stock sales,RW,Roof Windows,16202.03,13988.28,2213.75,13.66,72,51,2,212806.15,187088.29,25717.86,12.09,828.3,538,20
31/08/2026,1,Cash stock sales,R,ROOFING,1412.55,527.17,885.38,62.68,1867,14,0,10923.88,7517.39,3406.49,31.18,13762,106,7
31/08/2026,1,Cash stock sales,RA,Roofing Accessories,2687.49,1826.34,861.15,32.04,503,82,1,21684.74,14715.77,6968.97,32.14,3351.6,611,11
31/08/2026,1,Cash stock sales,RB,Roofing Battens,8970.88,4870.52,4100.36,45.71,14.0313,343,9,69087.14,37561.15,31525.99,45.63,109.9257,2627,74
